0,1,2,3,4,5,6,7,8,9,,,,
Settings,General,Reset,Reset all Settings,,,,,,,,,,
Settings,General,Reset,Erase All Content and Settings,,,,,,,,,,
Settings,General,Reset,Reset Network Settings,,,,,,,,,,
Settings,General,Reset,Reset Keyboard Dictionary,,,,,,,,,,
Settings,General,Reset,Reset Home Screen Layout,,,,,,,,,,
Settings,General,Reset,Location & Privacy,,,,,,,,,,
